,Nome,Valor
0,['Banimenton\nBanishment'],"['R$ 0,49']"
1,['Anjos de Batalha de Tyr\nBattle Angels of Tyr'],"['R$ 2,22']"
2,"[""Fogo-fátuo Atrativo\nBeckoning Will-o'-Wisp""]","['R$ 94,75']"
3,"[""Hipogrifo Abençoado // Benção de Tyr\nBlessed Hippogriff // Tyr's Blessing""]","['R$ 169,75']"
4,['Contrabandear Gado\nContraband Livestock'],"['R$ 12,25']"
5,['Dragão de Cristal // Roubar o Tesouro\nCrystal Dragon // Rob the Hoard'],"['R$ 0,43']"
6,['Fazer um Acordo\nCut a Deal'],"['R$ 0,24']"
7,['Clérigo Arauto da Aurora\nDawnbringer Cleric'],"['R$ 2,72']"
8,"['Ellyn Harbrisa, Intrometida\nEllyn Harbreeze, Busybody']","['R$ 64,70']"
9,['Viajante Distante\nFar Traveler'],"['R$ 1,48']"
10,['Punho Flamejante\nFlaming Fist'],"['R$ 0,47']"
11,['Oficial do Punho Flamejante\nFlaming Fist Officer'],"['R$ 1,88']"
12,['Githzerai Monge\nGithzerai Monk'],"['R$ 1,88']"
13,['Paladino Golias\nGoliath Paladin'],"['R$ 2,39']"
14,['Espada Grande de Tyr\nGreatsword of Tyr'],"['R$ 0,24']"
15,['Naga Anciã // Espirais Banidoras\nGuardian Naga // Banishing Coils'],"['R$ 1,88']"
16,['Raio Guia\nGuiding Bolt'],"['R$ 1,93']"
17,['Martelos de Moradin\nHammers of Moradin'],"['R$ 0,64']"
18,"[""Trombeta de Valhalla // Chamado de Ysgard\nHorn of Valhalla // Ysgard's Call""]","['R$ 0,44']"
19,['Resoluto do Vento Gélido\nIcewind Stalwart'],"['R$ 1,88']"
20,['Líder Inspirador\nInspiring Leader'],"['R$ 0,44']"
21,"[""Lae'zel, Campeã de Vlaakith\nLae'zel, Vlaakith's Champion""]","['R$ 0,99']"
22,"[""Acrobacia de Lae'zel\nLae'zel's Acrobatics""]","['R$ 0,48']"
23,['Lealdade da Legião\nLegion Loyalty'],"['R$ 0,44']"
24,"['Lulu, Halofante Leal\nLulu, Loyal Hollyphant']","['R$ 2,42']"
25,['Ímpeto Marcial\nMartial Impetus'],"['R$ 10,44']"
26,['Contenção Reduzida\nMinimus Containment'],"['R$ 0,47']"
27,['Ascendência Nobre\nNoble Heritage'],"['R$ 0,44']"
28,['Guardião Pégaso // Resgatar o Potro\nPegasus Guardian // Rescue the Foal'],"['R$ 14,75']"
29,['Rasaad yn Bashir'],"['R$ 8,75']"
30,['Campanha de Recrutamento\nRecruitment Drive'],"['R$ 48,74']"
31,['Chwinga de Resgate\nRescuer Chwinga'],"['R$ 2,42']"
32,['Harpista Itinerante\nRoving Harper'],"['R$ 0,32']"
33,['Falcão Batedor\nScouting Hawk'],"['R$ 0,20']"
34,['Explosão Solar Esculpida\nSculpted Sunburst'],"['R$ 7,89']"
35,['Matar os Fortes\nSlaughter the Strong'],"['R$ 0,47']"
36,['Unicórnio Inabalável\nSteadfast Unicorn'],"['R$ 2,42']"
37,['Pele-rocha\nStoneskin'],"['R$ 0,44']"
38,['Tucaneiros Tabaxi\nTabaxi Toucaneers'],"['R$ 1,88']"
39,['Busca no Subcelário\nUndercellar Sweep'],"['R$ 0,44']"
40,['Soldado Veterano\nVeteran Soldier'],"['R$ 0,44']"
41,['Aventureira da Pluma Branca\nWhite Plume Adventurer'],"['R$ 7,88']"
42,['Planetar Moldaventos\nWindshaper Planetar'],"['R$ 0,39']"
43,"[""Patrulha da Travessia do Dragão\nWyrm's Crossing Patrol""]","['R$ 0,45']"
44,['Seu Templo Está Sendo Atacado\nYour Temple Is Under Attack'],"['R$ 4,74']"
45,"[""Assaltantes Abordam Você\nYou're Confronted by Robbers""]","['R$ 0,47']"
46,['Aarakocra Furtivo\nAarakocra Sneak'],"['R$ 2,42']"
47,"['Alora, Ladra Alegre\nAlora, Merry Thief']","['R$ 1,89']"
48,['Dragão de Prata Ancião\nAncient Silver Dragon'],"['R$ 7,25']"
49,"[""Bane's Contigency""]","['R$ 17,75']"
50,['Turvar\nBlur'],"['R$ 0,44']"
51,['Inspiração do Forte da Vela\nCandlekeep Inspiration'],"['R$ 0,44']"
52,['Sábio do Forte da Vela\nCandlekeep Sage'],"['R$ 0,44']"
53,['Cone de Frio\nCone of Cold'],"['R$ 0,44']"
54,['Contato Extraplanar\nContact Other Plane'],"['R$ 1,42']"
55,['Gatinha Deslocadora\nDisplacer Kitten'],"['R$ 114,74']"
56,['Saber Dracônico\nDraconic Lore'],"['R$ 4,89']"
57,['Saqueador Draconato\nDragonborn Looter'],"['R$ 0,44']"
58,['Fratura de Sonho\nDream Fracture'],"['R$ 1,00']"
59,['Desbravador de Masmorras\nDungeon Delver'],"['R$ 0,44']"
60,"[""Simulacro de Elminster\nElminster's Simulacrum""]","['R$ 0,50']"
61,['Custódio de Faéria\nFeywild Caretaker'],"['R$ 0,14']"
62,['Visitante de Faéria\nFeywild Visitor'],"['R$ 38,75']"
63,['Fonte de Magia\nFont of Magic'],"['R$ 0,44']"
64,"['Gale, Prodígio de Águas Profundas\nGale, Waterdeep Prodigy']","['R$ 0,44']"
65,"[""Redirecionamento de Gale\nGale's Redirection""]","['R$ 0,25']"
66,['Olhos Noturnos\nGoggles of Night'],"['R$ 2,41']"
67,['Tritã do Porto Cinzento\nGray Harbor Merfolk'],"['R$ 34,99']"
68,['Coletor Ilitíde // Implantar Girino\nIllithid Harvester // Plant Tadpoles'],"['R$ 1,89']"
69,"['Imoen, Trapaceira Mística\nImoen, Mystic Trickster']","['R$ 2,43']"
70,"[""Duplicação Vil de Irenicus\nIrenicus's Vile Duplication""]","['R$ 53,94']"
