,Unnamed: 0,Valor,PT,EN
0,0,"R$ 0,49",O Sem Rosto,Faceless One
1,1,"R$ 1,95","Abdel Adrian, Protegido de Gorion","Abdel Adrian, Gorion's Ward"
2,2,"R$ 93,90",Dragão de Ouro Ancião,Ancient Gold Dragon
3,3,"R$ 164,90",Arquivista de Oghma,Archivist of Oghma
4,4,"R$ 10,74",Ascensão do Avernus,Ascend from Avernus
5,5,"R$ 0,43",Confronto Astral,Astral Confrontation
6,6,"R$ 0,24",Invocadora de Bane,Bane's Invoker
7,7,"R$ 2,72",Banimento,Banishment
8,8,"R$ 63,75",Anjos de Batalha de Tyr,Battle Angels of Tyr
9,9,"R$ 1,45",Fogo-fátuo Atrativo,Beckoning Will-o'-Wisp
10,10,"R$ 0,45",Hipogrifo Abençoado // Benção de Tyr,Blessed Hippogriff // Tyr's Blessing
11,11,"R$ 1,88",Contrabandear Gado,Contraband Livestock
12,12,"R$ 1,88",Dragão de Cristal // Roubar o Tesouro,Crystal Dragon // Rob the Hoard
13,13,"R$ 1,95",Fazer um Acordo,Cut a Deal
14,14,"R$ 0,24",Clérigo Arauto da Aurora,Dawnbringer Cleric
15,15,"R$ 1,88","Ellyn Harbrisa, Intrometida","Ellyn Harbreeze, Busybody"
16,16,"R$ 1,93",Viajante Distante,Far Traveler
17,17,"R$ 0,64",Punho Flamejante,Flaming Fist
18,18,"R$ 0,44",Oficial do Punho Flamejante,Flaming Fist Officer
19,19,"R$ 1,88",Githzerai Monge,Githzerai Monk
20,20,"R$ 0,44",Paladino Golias,Goliath Paladin
21,21,"R$ 0,59",Espada Grande de Tyr,Greatsword of Tyr
22,22,"R$ 0,48",Naga Anciã // Espirais Banidoras,Guardian Naga // Banishing Coils
23,23,"R$ 0,44",Raio Guia,Guiding Bolt
24,24,"R$ 1,95",Martelos de Moradin,Hammers of Moradin
25,25,"R$ 9,90",Trombeta de Valhalla // Chamado de Ysgard,Horn of Valhalla // Ysgard's Call
26,26,"R$ 0,45",Resoluto do Vento Gélido,Icewind Stalwart
27,27,"R$ 0,44",Líder Inspirador,Inspiring Leader
28,28,"R$ 13,90","Lae'zel, Campeã de Vlaakith","Lae'zel, Vlaakith's Champion"
29,29,"R$ 7,95",Acrobacia de Lae'zel,Lae'zel's Acrobatics
30,30,"R$ 47,90",Lealdade da Legião,Legion Loyalty
31,31,"R$ 2,39","Lulu, Halofante Leal","Lulu, Loyal Hollyphant"
32,32,"R$ 0,32",Ímpeto Marcial,Martial Impetus
33,33,"R$ 0,20",Contenção Reduzida,Minimus Containment
34,34,"R$ 6,90",Ascendência Nobre,Noble Heritage
35,35,"R$ 0,47",Guardião Pégaso // Resgatar o Potro,Pegasus Guardian // Rescue the Foal
36,36,"R$ 2,39",Rasaad yn Bashir,
37,37,"R$ 0,44",Campanha de Recrutamento,Recruitment Drive
38,38,"R$ 1,88",Chwinga de Resgate,Rescuer Chwinga
39,39,"R$ 0,45",Harpista Itinerante,Roving Harper
40,40,"R$ 0,44",Falcão Batedor,Scouting Hawk
41,41,"R$ 6,90",Explosão Solar Esculpida,Sculpted Sunburst
42,42,"R$ 0,39",Matar os Fortes,Slaughter the Strong
43,43,"R$ 0,45",Unicórnio Inabalável,Steadfast Unicorn
44,44,"R$ 4,69",Pele-rocha,Stoneskin
45,45,"R$ 0,47",Tucaneiros Tabaxi,Tabaxi Toucaneers
46,46,"R$ 1,95",Busca no Subcelário,Undercellar Sweep
47,47,"R$ 1,89",Soldado Veterano,Veteran Soldier
48,48,"R$ 6,90",Aventureira da Pluma Branca,White Plume Adventurer
49,49,"R$ 16,90",Planetar Moldaventos,Windshaper Planetar
50,50,"R$ 0,44",Patrulha da Travessia do Dragão,Wyrm's Crossing Patrol
51,51,"R$ 0,44",Seu Templo Está Sendo Atacado,Your Temple Is Under Attack
52,52,"R$ 0,44",Assaltantes Abordam Você,You're Confronted by Robbers
53,53,"R$ 0,44",Aarakocra Furtivo,Aarakocra Sneak
54,54,"R$ 1,42","Alora, Ladra Alegre","Alora, Merry Thief"
55,55,"R$ 97,94",Dragão de Prata Ancião,Ancient Silver Dragon
56,56,"R$ 4,89",Contigência de Bane,Bane's Contigency
57,57,"R$ 0,44",Turvar,Blur
58,58,"R$ 1,00",Inspiração do Forte da Vela,Candlekeep Inspiration
59,59,"R$ 0,44",Sábio do Forte da Vela,Candlekeep Sage
60,60,"R$ 0,50",Cone de Frio,Cone of Cold
61,61,"R$ 0,14",Contato Extraplanar,Contact Other Plane
62,62,"R$ 38,75",Gatinha Deslocadora,Displacer Kitten
63,63,"R$ 0,44",Saber Dracônico,Draconic Lore
64,64,"R$ 0,44",Saqueador Draconato,Dragonborn Looter
65,65,"R$ 0,25",Fratura de Sonho,Dream Fracture
66,66,"R$ 1,99",Desbravador de Masmorras,Dungeon Delver
67,67,"R$ 34,90",Simulacro de Elminster,Elminster's Simulacrum
68,68,"R$ 1,89",Custódio de Faéria,Feywild Caretaker
69,69,"R$ 1,99",Visitante de Faéria,Feywild Visitor
70,70,"R$ 52,94",Fonte de Magia,Font of Magic
71,71,"R$ 11,90","Gale, Prodígio de Águas Profundas","Gale, Waterdeep Prodigy"
72,72,"R$ 8,42",Redirecionamento de Gale,Gale's Redirection
73,73,"R$ 0,43",Olhos Noturnos,Goggles of Night
74,74,"R$ 0,44",Tritã do Porto Cinzento,Gray Harbor Merfolk
75,75,"R$ 5,89",Coletor Ilitíde // Implantar Girino,Illithid Harvester // Plant Tadpoles
76,76,"R$ 1,85","Imoen, Trapaceira Mística","Imoen, Mystic Trickster"
77,77,"R$ 1,91",Duplicação Vil de Irenicus,Irenicus's Vile Duplication
78,78,"R$ 0,95",Dragão de Névoa Juvenil,Juvenile Mist Dragon
79,79,"R$ 0,45",Artífice Kenku,Kenku Artificer
80,80,"R$ 49,69",Descoberta da Estirpe,Kindred Discovery
81,81,"R$ 0,55",Orbe dos Dragões de Lápis-lazúli,Lapis Orb of Dragonkind
82,82,"R$ 1,95",Modificar Memória,Modify Memory
83,83,"R$ 1,95",Pixie de Moonshae // Poeira de Pixie,Moonshae Pixie // Pixie Dust
84,84,"R$ 1,41",Chave Misteriosa,Mystery Key
85,85,"R$ 0,44",Adepto Garraveloz,Nimbleclaw Adept
86,86,"R$ 0,43",Dragão de Oceanus,Oceanus Dragon
87,87,"R$ 0,44",Familiar Pseudodragão,Pseudodragon Familiar
88,88,"R$ 0,34",Ímpeto Psíquico,Psychic Impetus
89,89,"R$ 3,75","Renari, Comerciante de Maravilhas","Renari, Merchant of Marvels"
90,90,"R$ 17,95",Robe do Arquimago,Robe of the Archmagi
91,91,"R$ 0,10",Fugir Juntos,Run Away Together
92,92,"R$ 2,73",Ruína dos Marinheiros,Sailors' Bane
93,93,"R$ 3,42",Dragão de Safira // Pulso Psiônico,Sapphire Dragon // Psionic Pulse
94,94,"R$ 0,43",Megera do Mar // Entrada Aquática,Sea Hag // Aquatic Ingress
95,95,"R$ 7,90",Charlatão Descarado,Shameless Charlatan
96,96,"R$ 0,44",Golpe Atordoante,Stunning Strike
97,97,"R$ 1,88",Marinheiro da Costa da Espada,Sword Coast Sailor
98,98,"R$ 0,45",Serpente da Costa da Espada // Onda de Emborcação,Sword Coast Serpent // Capsizing Wave
99,99,"R$ 7,75",Aventureira da Tumba dos Horrores,Tomb of Horrors Adventurer
100,100,"R$ 0,24",Invocador de Tymora,Tymora's Invoker
101,101,"R$ 1,95","Vhal, Pesquisadora de Forte da Vela","Vhal, Candlekeep Researcher"
102,102,"R$ 24,74","Volo, Erudito Itinerante","Volo, Itinerant Scholar"
103,103,"R$ 0,43",Eladrin Invernal,Winter Eladrin
104,104,"R$ 17,72",Magos de Thay,Wizards of Thay
105,105,"R$ 0,45",Dragão Azul Jovem // Augúrio das Areias,Young Blue Dragon // Sand Augury
106,106,"R$ 3,88",Agente do Trono de Ferro,Agent of the Iron Throne
107,107,"R$ 1,89",Agente dos Ladrões das Sombras,Agent of the Shadow Thieves
108,108,"R$ 18,95",Altar de Bhaal // Oferenda de Ossos,Altar of Bhaal // Bone Offering
109,109,"R$ 0,41",Custo da Ambição,Ambition's Cost
110,110,"R$ 36,89",Dragão de Latão Ancião,Ancient Brass Dragon
111,111,"R$ 0,42",Armadura de Sombras,Armor of Shadows
112,112,"R$ 0,43",Braços de Hadar,Arms of Hadar
