,Nome,Valor
0,['O Sem Rosto\nFaceless One'],"['R$ 0,49']"
1,"[""Abdel Adrian, Protegido de Gorion\nAbdel Adrian, Gorion's Ward""]","['R$ 1,95']"
2,['Dragão de Ouro Ancião\nAncient Gold Dragon'],"['R$ 93,90']"
3,['Arquivista de Oghma\nArchivist of Oghma'],"['R$ 164,90']"
4,['Ascensão do Avernus\nAscend from Avernus'],"['R$ 10,74']"
5,['Confronto Astral\nAstral Confrontation'],"['R$ 0,43']"
6,"[""Invocadora de Bane\nBane's Invoker""]","['R$ 0,24']"
7,['Banimento\nBanishment'],"['R$ 2,72']"
8,['Anjos de Batalha de Tyr\nBattle Angels of Tyr'],"['R$ 63,75']"
9,"[""Fogo-fátuo Atrativo\nBeckoning Will-o'-Wisp""]","['R$ 1,45']"
10,"[""Hipogrifo Abençoado // Benção de Tyr\nBlessed Hippogriff // Tyr's Blessing""]","['R$ 0,45']"
11,['Contrabandear Gado\nContraband Livestock'],"['R$ 1,88']"
12,['Dragão de Cristal // Roubar o Tesouro\nCrystal Dragon // Rob the Hoard'],"['R$ 1,88']"
13,['Fazer um Acordo\nCut a Deal'],"['R$ 1,95']"
14,['Clérigo Arauto da Aurora\nDawnbringer Cleric'],"['R$ 0,24']"
15,"['Ellyn Harbrisa, Intrometida\nEllyn Harbreeze, Busybody']","['R$ 1,88']"
16,['Viajante Distante\nFar Traveler'],"['R$ 1,93']"
17,['Punho Flamejante\nFlaming Fist'],"['R$ 0,64']"
18,['Oficial do Punho Flamejante\nFlaming Fist Officer'],"['R$ 0,44']"
19,['Githzerai Monge\nGithzerai Monk'],"['R$ 1,88']"
20,['Paladino Golias\nGoliath Paladin'],"['R$ 0,44']"
21,['Espada Grande de Tyr\nGreatsword of Tyr'],"['R$ 0,59']"
22,['Naga Anciã // Espirais Banidoras\nGuardian Naga // Banishing Coils'],"['R$ 0,48']"
23,['Raio Guia\nGuiding Bolt'],"['R$ 0,44']"
24,['Martelos de Moradin\nHammers of Moradin'],"['R$ 1,95']"
25,"[""Trombeta de Valhalla // Chamado de Ysgard\nHorn of Valhalla // Ysgard's Call""]","['R$ 9,90']"
26,['Resoluto do Vento Gélido\nIcewind Stalwart'],"['R$ 0,45']"
27,['Líder Inspirador\nInspiring Leader'],"['R$ 0,44']"
28,"[""Lae'zel, Campeã de Vlaakith\nLae'zel, Vlaakith's Champion""]","['R$ 13,90']"
29,"[""Acrobacia de Lae'zel\nLae'zel's Acrobatics""]","['R$ 7,95']"
30,['Lealdade da Legião\nLegion Loyalty'],"['R$ 47,90']"
31,"['Lulu, Halofante Leal\nLulu, Loyal Hollyphant']","['R$ 2,39']"
32,['Ímpeto Marcial\nMartial Impetus'],"['R$ 0,32']"
33,['Contenção Reduzida\nMinimus Containment'],"['R$ 0,20']"
34,['Ascendência Nobre\nNoble Heritage'],"['R$ 6,90']"
35,['Guardião Pégaso // Resgatar o Potro\nPegasus Guardian // Rescue the Foal'],"['R$ 0,47']"
36,['Rasaad yn Bashir'],"['R$ 2,39']"
37,['Campanha de Recrutamento\nRecruitment Drive'],"['R$ 0,44']"
38,['Chwinga de Resgate\nRescuer Chwinga'],"['R$ 1,88']"
39,['Harpista Itinerante\nRoving Harper'],"['R$ 0,45']"
40,['Falcão Batedor\nScouting Hawk'],"['R$ 0,44']"
41,['Explosão Solar Esculpida\nSculpted Sunburst'],"['R$ 6,90']"
42,['Matar os Fortes\nSlaughter the Strong'],"['R$ 0,39']"
43,['Unicórnio Inabalável\nSteadfast Unicorn'],"['R$ 0,45']"
44,['Pele-rocha\nStoneskin'],"['R$ 4,69']"
45,['Tucaneiros Tabaxi\nTabaxi Toucaneers'],"['R$ 0,47']"
46,['Busca no Subcelário\nUndercellar Sweep'],"['R$ 1,95']"
47,['Soldado Veterano\nVeteran Soldier'],"['R$ 1,89']"
48,['Aventureira da Pluma Branca\nWhite Plume Adventurer'],"['R$ 6,90']"
49,['Planetar Moldaventos\nWindshaper Planetar'],"['R$ 16,90']"
50,"[""Patrulha da Travessia do Dragão\nWyrm's Crossing Patrol""]","['R$ 0,44']"
51,['Seu Templo Está Sendo Atacado\nYour Temple Is Under Attack'],"['R$ 0,44']"
52,"[""Assaltantes Abordam Você\nYou're Confronted by Robbers""]","['R$ 0,44']"
53,['Aarakocra Furtivo\nAarakocra Sneak'],"['R$ 0,44']"
54,"['Alora, Ladra Alegre\nAlora, Merry Thief']","['R$ 1,42']"
55,['Dragão de Prata Ancião\nAncient Silver Dragon'],"['R$ 97,94']"
56,"[""Contigência de Bane\nBane's Contigency""]","['R$ 4,89']"
57,['Turvar\nBlur'],"['R$ 0,44']"
58,['Inspiração do Forte da Vela\nCandlekeep Inspiration'],"['R$ 1,00']"
59,['Sábio do Forte da Vela\nCandlekeep Sage'],"['R$ 0,44']"
60,['Cone de Frio\nCone of Cold'],"['R$ 0,50']"
61,['Contato Extraplanar\nContact Other Plane'],"['R$ 0,14']"
62,['Gatinha Deslocadora\nDisplacer Kitten'],"['R$ 38,75']"
63,['Saber Dracônico\nDraconic Lore'],"['R$ 0,44']"
64,['Saqueador Draconato\nDragonborn Looter'],"['R$ 0,44']"
65,['Fratura de Sonho\nDream Fracture'],"['R$ 0,25']"
66,['Desbravador de Masmorras\nDungeon Delver'],"['R$ 1,99']"
67,"[""Simulacro de Elminster\nElminster's Simulacrum""]","['R$ 34,90']"
68,['Custódio de Faéria\nFeywild Caretaker'],"['R$ 1,89']"
69,['Visitante de Faéria\nFeywild Visitor'],"['R$ 1,99']"
70,['Fonte de Magia\nFont of Magic'],"['R$ 52,94']"
71,"['Gale, Prodígio de Águas Profundas\nGale, Waterdeep Prodigy']","['R$ 11,90']"
72,"[""Redirecionamento de Gale\nGale's Redirection""]","['R$ 8,42']"
73,['Olhos Noturnos\nGoggles of Night'],"['R$ 0,43']"
74,['Tritã do Porto Cinzento\nGray Harbor Merfolk'],"['R$ 0,44']"
75,['Coletor Ilitíde // Implantar Girino\nIllithid Harvester // Plant Tadpoles'],"['R$ 5,89']"
76,"['Imoen, Trapaceira Mística\nImoen, Mystic Trickster']","['R$ 1,85']"
77,"[""Duplicação Vil de Irenicus\nIrenicus's Vile Duplication""]","['R$ 1,91']"
78,['Dragão de Névoa Juvenil\nJuvenile Mist Dragon'],"['R$ 0,95']"
79,['Artífice Kenku\nKenku Artificer'],"['R$ 0,45']"
80,['Descoberta da Estirpe\nKindred Discovery'],"['R$ 49,69']"
81,['Orbe dos Dragões de Lápis-lazúli\nLapis Orb of Dragonkind'],"['R$ 0,55']"
82,['Modificar Memória\nModify Memory'],"['R$ 1,95']"
83,['Pixie de Moonshae // Poeira de Pixie\nMoonshae Pixie // Pixie Dust'],"['R$ 1,95']"
84,['Chave Misteriosa\nMystery Key'],"['R$ 1,41']"
85,['Adepto Garraveloz\nNimbleclaw Adept'],"['R$ 0,44']"
86,['Dragão de Oceanus\nOceanus Dragon'],"['R$ 0,43']"
87,['Familiar Pseudodragão\nPseudodragon Familiar'],"['R$ 0,44']"
88,['Ímpeto Psíquico\nPsychic Impetus'],"['R$ 0,34']"
89,"['Renari, Comerciante de Maravilhas\nRenari, Merchant of Marvels']","['R$ 3,75']"
90,['Robe do Arquimago\nRobe of the Archmagi'],"['R$ 17,95']"
91,['Fugir Juntos\nRun Away Together'],"['R$ 0,10']"
92,"[""Ruína dos Marinheiros\nSailors' Bane""]","['R$ 2,73']"
93,['Dragão de Safira // Pulso Psiônico\nSapphire Dragon // Psionic Pulse'],"['R$ 3,42']"
94,['Megera do Mar // Entrada Aquática\nSea Hag // Aquatic Ingress'],"['R$ 0,43']"
95,['Charlatão Descarado\nShameless Charlatan'],"['R$ 7,90']"
96,['Golpe Atordoante\nStunning Strike'],"['R$ 0,44']"
97,['Marinheiro da Costa da Espada\nSword Coast Sailor'],"['R$ 1,88']"
98,['Serpente da Costa da Espada // Onda de Emborcação\nSword Coast Serpent // Capsizing Wave'],"['R$ 0,45']"
99,['Aventureira da Tumba dos Horrores\nTomb of Horrors Adventurer'],"['R$ 7,75']"
100,"[""Invocador de Tymora\nTymora's Invoker""]","['R$ 0,24']"
101,"['Vhal, Pesquisadora de Forte da Vela\nVhal, Candlekeep Researcher']","['R$ 1,95']"
102,"['Volo, Erudito Itinerante\nVolo, Itinerant Scholar']","['R$ 24,74']"
103,['Eladrin Invernal\nWinter Eladrin'],"['R$ 0,43']"
104,['Magos de Thay\nWizards of Thay'],"['R$ 17,72']"
105,['Dragão Azul Jovem // Augúrio das Areias\nYoung Blue Dragon // Sand Augury'],"['R$ 0,45']"
106,['Agente do Trono de Ferro\nAgent of the Iron Throne'],"['R$ 3,88']"
107,['Agente dos Ladrões das Sombras\nAgent of the Shadow Thieves'],"['R$ 1,89']"
108,['Altar de Bhaal // Oferenda de Ossos\nAltar of Bhaal // Bone Offering'],"['R$ 18,95']"
109,"[""Custo da Ambição\nAmbition's Cost""]","['R$ 0,41']"
110,['Dragão de Latão Ancião\nAncient Brass Dragon'],"['R$ 36,89']"
111,['Armadura de Sombras\nArmor of Shadows'],"['R$ 0,42']"
112,['Braços de Hadar\nArms of Hadar'],"['R$ 0,43']"
113,"[""Sede de Astarion\nAstarion's Thirst""]","['R$ 8,94']"
114,['Experimento Atroz\nAtrocious Experiment'],"['R$ 0,42']"
115,['Dinheiro Sangrento\nBlood Money'],"['R$ 32,44']"
116,['Clériga Convocadora de Ossos\nBonecaller Cleric'],"['R$ 0,50']"
117,['Chamado ao Vazio\nCall to the Void'],"['R$ 6,95']"
118,['Demover\nCast Down'],"['R$ 1,99']"
119,['Diabo das Correntes\nChain Devil'],"['R$ 0,44']"
